Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55347,23980.0,4.55 %,"#2,133",44.826059,-93.46533000000001,Eden Prairie,Minnesota
55364,14983.0,1.24 %,"#6,571",44.945432000000004,-93.693523,Mound,Minnesota
55369,33294.0,2.25 %,"#4,273",45.130113,-93.444661,Osseo,Minnesota
55372,22828.0,0.85 %,"#8,456",44.682895,-93.403141,Prior Lake,Minnesota
55378,21882.0,5.31 %,"#1,817",44.769329,-93.39735999999999,Savage,Minnesota
55379,23250.0,2.14 %,"#4,437",44.743507,-93.526107,Shakopee,Minnesota
55391,16135.0,1.26 %,"#6,496",44.968226,-93.525645,Wayzata,Minnesota
55403,14873.0,3.40 %,"#2,913",44.97057,-93.284032,Minneapolis,Minnesota
55404,27282.0,4.25 %,"#2,297",44.962198,-93.262011,Minneapolis,Minnesota
55405,15909.0,9.29 %,#948,44.971865,-93.302502,Minneapolis,Minnesota
55406,33033.0,2.69 %,"#3,669",44.938334000000005,-93.221638,Minneapolis,Minnesota
55407,37879.0,5.43 %,"#1,766",44.935036,-93.253029,Minneapolis,Minnesota
55408,30564.0,5.35 %,"#1,796",44.943815,-93.293867,Minneapolis,Minnesota
55409,21100.0,2.40 %,"#4,041",44.923939000000004,-93.283436,Minneapolis,Minnesota
55410,18435.0,2.19 %,"#4,361",44.913345,-93.316942,Minneapolis,Minnesota
55411,31689.0,14.98 %,#491,44.999752,-93.29798000000001,Minneapolis,Minnesota
55412,25010.0,11.08 %,#752,45.025971999999996,-93.300288,Minneapolis,Minnesota
55413,12082.0,3.94 %,"#2,480",44.999734000000004,-93.238,Minneapolis,Minnesota
55414,24126.0,10.08 %,#862,44.978043,-93.223019,Minneapolis,Minnesota
55416,27276.0,2.70 %,"#3,654",44.951183,-93.34098900000001,Minneapolis,Minnesota
55417,25117.0,2.28 %,"#4,227",44.902611,-93.23169200000001,Minneapolis,Minnesota
55418,30795.0,3.57 %,"#2,762",45.02131,-93.244136,Minneapolis,Minnesota
55419,17197.0,2.43 %,"#3,992",44.90237,-93.28765899999999,Minneapolis,Minnesota
55420,21315.0,7.05 %,"#1,330",44.835969,-93.277176,Minneapolis,Minnesota
55421,25622.0,3.61 %,"#2,734",45.050554999999996,-93.249955,Minneapolis,Minnesota
55422,27810.0,2.40 %,"#4,044",45.009275,-93.341105,Minneapolis,Minnesota
55423,34594.0,5.31 %,"#1,818",44.877193,-93.281359,Minneapolis,Minnesota
55426,25458.0,3.59 %,"#2,744",44.956559999999996,-93.381608,Minneapolis,Minnesota
55427,23441.0,3.42 %,"#2,897",45.004595,-93.381351,Minneapolis,Minnesota
55428,29933.0,4.24 %,"#2,301",45.064039,-93.383509,Minneapolis,Minnesota
55429,25930.0,8.35 %,"#1,087",45.063552,-93.34109699999999,Minneapolis,Minnesota
55430,21102.0,10.25 %,#844,45.063112,-93.300411,Minneapolis,Minnesota
55431,18542.0,3.64 %,"#2,710",44.825914000000004,-93.310998,Minneapolis,Minnesota
55432,30576.0,2.97 %,"#3,314",45.096587,-93.254518,Minneapolis,Minnesota
55433,34714.0,1.66 %,"#5,335",45.160410999999996,-93.314839,Minneapolis,Minnesota
55434,27553.0,2.25 %,"#4,268",45.163716,-93.25048699999999,Minneapolis,Minnesota
55435,11268.0,5.24 %,"#1,842",44.873981,-93.335255,Minneapolis,Minnesota
55436,12607.0,2.08 %,"#4,527",44.907173,-93.375086,Minneapolis,Minnesota
55437,18828.0,4.23 %,"#2,306",44.822972,-93.344341,Minneapolis,Minnesota
55438,17425.0,4.59 %,"#2,106",44.826731,-93.37939300000001,Minneapolis,Minnesota
55441,17398.0,3.59 %,"#2,745",45.007993,-93.425314,Minneapolis,Minnesota
55442,13196.0,3.81 %,"#2,579",45.046291,-93.428928,Minneapolis,Minnesota
55443,25379.0,8.84 %,"#1,013",45.117609,-93.33811800000001,Minneapolis,Minnesota
55444,15702.0,11.59 %,#700,45.107694,-93.303067,Minneapolis,Minnesota
55446,12464.0,5.19 %,"#1,867",45.046438,-93.485395,Minneapolis,Minnesota
55447,23435.0,3.18 %,"#3,113",45.001581,-93.49085600000001,Minneapolis,Minnesota
55448,26551.0,1.49 %,"#5,775",45.193911,-93.299952,Minneapolis,Minnesota
55449,11678.0,3.52 %,"#2,806",45.177288,-93.181914,Minneapolis,Minnesota
